Regio's (naam),Perioden (jaar),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Geboorte (aantal),"Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Geboorte, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Sterfte (aantal),"Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Sterfte, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Geboorteoverschot (aantal),"Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Geboorteoverschot, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Nieuwvormingen (aantal),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Ziekten van hart en vaatstelsel (aantal),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Ziekten van ademhalingsstelsel (aantal),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Uitwendige doodsoorzaken (aantal),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Overige doodsoorzaken (aantal),Bevolking|Bevolkingsontwikkeling|Verhuizingen|Vestiging uit andere gemeente (aantal),Bevolking|Bevolkingsontwikkeling|Verhuizingen|Vertrek naar andere gemeente (aantal),Bevolking|Bevolkingsontwikkeling|Verhuizingen|Binnenlands migratiesaldo (aantal),"Bevolking|Bevolkingsontwikkeling|Verhuizingen|Binnenlands migratiesaldo, relatief (per 1 000 inwoners)","Bevolking|Bevolkingsontwikkeling|Verhuizingen|Verhuismobiliteit, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Immigratie (aantal),Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Emigratie (aantal),Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Migratiesaldo (aantal),"Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Migratiesaldo, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Inwoners op 31 december (aantal),Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Bevolkingsgroei (aantal),"Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Bevolkingsgroei, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Gemiddeld aantal inwoners (aantal)
Gelderland (PV),2021,20771,"9,9",21287,"10,1",-516,"-0,2",5832,4849,1368,1144,8095,97604,90651,6953,"3,3","94,9",,,,,2110472,13869,"6,6","2103537,5"
Gelderland (PV),2022,,,,,,,,,,,,,,,,,,,,,,,,
Utrecht (PV),2012,14878,12,8933,"7,2",5945,"4,8",2838,2340,915,456,2384,53065,51437,1628,"1,3","91,9",9387,8740,647,"0,5",1245294,8177,"6,6","1241205,5"
Utrecht (PV),2013,14313,"11,5",9101,"7,3",5212,"4,2",2845,2411,805,488,2552,53896,51694,2202,"1,8","91,7",9930,9017,913,"0,7",1253672,8378,"6,7",1249483
Utrecht (PV),2014,14821,"11,8",9087,"7,2",5734,"4,6",2890,2401,691,487,2618,59619,57154,2465,2,"100,6",10698,9025,1673,"1,3",1263572,9900,"7,9",1258622
Utrecht (PV),2015,14371,"11,3",9484,"7,5",4887,"3,9",2872,2538,805,521,2748,63750,61188,2562,2,"106,9",11886,9292,2594,2,1273613,10041,"7,9","1268592,5"
Utrecht (PV),2016,14465,"11,3",9609,"7,5",4856,"3,8",3044,2414,746,551,2854,68159,66002,2157,"1,7","112,2",12337,8476,3861,3,1284504,10891,"8,6","1279058,5"
Utrecht (PV),2017,14532,"11,3",9701,"7,5",4831,"3,7",3042,2376,794,503,2986,69002,65916,3086,"2,4","111,6",12091,9015,3076,"2,4",1295484,10980,"8,5",1289994
Utrecht (PV),2018,14354,11,9869,"7,6",4485,"3,4",2969,2454,876,573,2997,66868,63834,3034,"2,3","106,4",13205,9293,3912,3,1306890,11406,"8,8",1301187
Utrecht (PV),2019,14935,"11,1",10176,"7,5",4759,"3,5",3088,2532,771,603,3182,67831,65012,2819,"2,1","103,5",14980,9837,5143,"3,8",1354834,12676,"9,4",1348496
Utrecht (PV),2020,14776,"10,9",11179,"8,2",3597,"2,6",3093,2322,716,633,4415,69698,69899,-201,"-0,1","106,9",,,,,1361153,6319,"4,7","1357993,5"
Utrecht (PV),2021,15784,"11,6",11323,"8,3",4461,"3,3",3072,2448,625,678,4500,71459,71992,-533,"-0,4","105,8",,,,,1369873,8720,"6,4",1365513
Utrecht (PV),2022,,,,,,,,,,,,,,,,,,,,,,,,
Noord-Holland (PV),2012,29791,11,22118,"8,1",7673,"2,8",6839,5786,2073,1167,6253,106387,101162,5225,"1,9","93,4",35888,34354,1534,"0,6",2724300,14478,"5,3",2717061
Noord-Holland (PV),2013,29312,"10,7",22026,"8,1",7286,"2,7",6854,5753,1690,1096,6633,107455,101344,6111,"2,2","92,6",36737,33253,3484,"1,3",2741369,17069,"6,3","2732834,5"
Noord-Holland (PV),2014,29959,"10,9",21617,"7,9",8342,3,6840,5698,1519,1112,6448,116594,112695,3899,"1,4","100,3",42565,34358,8207,3,2761929,20560,"7,5",2751649
Noord-Holland (PV),2015,29509,"10,6",23032,"8,3",6477,"2,3",7089,5931,1857,1294,6861,127023,122571,4452,"1,6","107,8",46369,34429,11940,"4,3",2784854,22925,"8,3","2773391,5"
Noord-Holland (PV),2016,29876,"10,7",23276,"8,3",6600,"2,4",7167,5905,1844,1358,7002,133758,131703,2055,"0,7","111,3",51251,35238,16013,"5,7",2809483,24629,"8,8","2797168,5"
Noord-Holland (PV),2017,29393,"10,4",22866,"8,1",6527,"2,3",7138,5533,1862,1373,6960,135253,137957,-2704,-1,"112,6",55623,37664,17959,"6,4",2831182,21699,"7,7","2820332,5"
Noord-Holland (PV),2018,29253,"10,3",23424,"8,2",5829,"2,1",7103,5464,2003,1547,7307,129409,136397,-6988,"-2,5","108,1",62713,39278,23435,"8,3",2853359,22177,"7,8","2842270,5"
Noord-Holland (PV),2019,29254,"10,2",23086,"8,1",6168,"2,2",7086,5394,1846,1558,7202,132580,141868,-9288,"-3,2","110,5",69450,40113,29337,"10,3",2879527,26168,"9,2",2866443
Noord-Holland (PV),2020,29031,"10,1",25481,"8,8",3550,"1,2",7158,5438,1497,1503,9885,140087,150094,-10007,"-3,5","114,9",,,,,2888486,8959,"3,1","2884006,5"
Noord-Holland (PV),2021,30919,"10,7",25972,9,4947,"1,7",7286,5457,1493,1609,10127,142227,150773,-8546,"-2,9","114,3",,,,,2909827,21341,"7,4","2899156,5"
Noord-Holland (PV),2022,,,,,,,,,,,,,,,,,,,,,,,,
Zuid-Holland (PV),2012,40814,"11,5",29411,"8,3",11403,"3,2",9203,7832,3068,1224,8084,129048,129025,23,0,"89,4",44295,44266,29,0,3563935,11528,"3,2",3558171
Zuid-Holland (PV),2013,39350,11,29248,"8,2",10102,"2,8",9214,7842,2414,1304,8474,129493,128307,1186,"0,3",89,45599,43901,1698,"0,5",3577032,13097,"3,7","3570483,5"
Zuid-Holland (PV),2014,40779,"11,4",28731,8,12048,"3,4",9149,7656,2130,1446,8343,137652,134142,3510,1,"91,8",48361,40918,7443,"2,1",3600011,22979,"6,4","3588521,5"
Zuid-Holland (PV),2015,39337,"10,9",30286,"8,4",9051,"2,5",9368,7889,2561,1526,8941,147023,142470,4553,"1,3","97,6",50490,41586,8904,"2,5",3622303,22292,"6,2",3611157
Zuid-Holland (PV),2016,40155,11,30744,"8,5",9411,"2,6",9739,7697,2424,1520,9365,162612,153623,8989,"2,5","102,4",52740,43049,9691,"2,7",3650222,27919,"7,7","3636262,5"
Zuid-Holland (PV),2017,39428,"10,8",30873,"8,4",8555,"2,3",9556,7621,2749,1617,9330,170141,161550,8591,"2,3","105,2",56476,42544,13932,"3,8",3681044,30822,"8,4",3665633
Zuid-Holland (PV),2018,39316,"10,6",31532,"8,5",7784,"2,1",9567,7380,2802,1870,9913,160985,158019,2966,"0,8","98,8",58797,41151,17646,"4,8",3709161,28117,"7,6","3695102,5"
